team,confederation
Abkhazia,OTHER
Afghanistan,AFC
Albania,UEFA
Alderney,UNKNOWN
Algeria,CAF
American Samoa,OFC
Andorra,UEFA
Angola,CAF
Anguilla,CONCACAF
Antigua and Barbuda,CONCACAF
Argentina,CONMEBOL
Armenia,UEFA
Artsakh,OTHER
Aruba,CONCACAF
Australia,AFC
Austria,UEFA
Aymara,UNKNOWN
Azerbaijan,UEFA
Bahamas,CONCACAF
Bahrain,AFC
Bangladesh,AFC
Barawa,UNKNOWN
Barbados,CONCACAF
Basque Country,UNKNOWN
Belarus,UEFA
Belgium,UEFA
Belize,CONCACAF
Benin,CAF
Bermuda,CONCACAF
Bhutan,AFC
Biafra,UNKNOWN
Bolivia,CONMEBOL
Bonaire,OTHER
Bosnia and Herzegovina,UEFA
Botswana,CAF
Brazil,CONMEBOL
British Virgin Islands,CONCACAF
Brunei,AFC
Bulgaria,UEFA
Burkina Faso,CAF
Burundi,CAF
Cambodia,AFC
Cameroon,CAF
Canada,CONCACAF
Cape Verde,CAF
Cascadia,UNKNOWN
Catalonia,OTHER
Cayman Islands,CONCACAF
Central African Republic,CAF
Chad,CAF
Chagos Islands,OTHER
Chameria,UNKNOWN
Chile,CONMEBOL
China,AFC
Colombia,CONMEBOL
Comoros,CAF
Congo,CAF
Cook Islands,OFC
Costa Rica,CONCACAF
Croatia,UEFA
Cuba,CONCACAF
Curacao,CONCACAF
Cyprus,UEFA
Czech Republic,UEFA
DR Congo,CAF
Denmark,UEFA
Djibouti,CAF
Dominica,CONCACAF
Dominican Republic,CONCACAF
East Turkestan,UNKNOWN
Ecuador,CONMEBOL
Egypt,CAF
El Salvador,CONCACAF
Elba Island,OTHER
Ellan Vannin,OTHER
England,UEFA
Equatorial Guinea,CAF
Eritrea,CAF
Estonia,UEFA
Eswatini,CAF
Ethiopia,CAF
Falkland Islands,UNKNOWN
Faroe Islands,UEFA
Fiji,OFC
Finland,UEFA
France,UEFA
Franconia,UNKNOWN
French Guiana,CONCACAF
Frøya,OTHER
Gabon,CAF
Galicia,UNKNOWN
Gambia,CAF
Georgia,UEFA
Germany,UEFA
Ghana,CAF
Gibraltar,UEFA
Gozo,UNKNOWN
Greece,UEFA
Greenland,OTHER
Grenada,CONCACAF
Guadeloupe,CONCACAF
Guam,AFC
Guatemala,CONCACAF
Guernsey,UNKNOWN
Guinea,CAF
Guinea-Bissau,CAF
Guyana,CONCACAF
Haiti,CONCACAF
Hitra,UNKNOWN
Hmong,UNKNOWN
Honduras,CONCACAF
Hong Kong,AFC
Hungary,UEFA
Iceland,UEFA
India,AFC
Indonesia,AFC
Iran,AFC
Iraq,AFC
Isle of Man,OTHER
Isle of Wight,UNKNOWN
