team,estimated_elo,matches,ppg,gd_per_match,known_opponent_matches,confidence
Italy,1939,97,2.0,1.041,51,high
Denmark,1910,100,1.88,1.02,49,high
Russia,1867,75,1.84,1.013,33,high
Serbia,1786,94,1.638,0.362,41,high
Poland,1769,96,1.573,0.385,44,high
Ukraine,1766,91,1.637,0.165,42,high
Hungary,1758,89,1.551,0.124,32,high
Greece,1756,84,1.595,0.393,28,high
Romania,1745,88,1.614,0.466,27,high
Georgia,1728,86,1.512,0.302,29,high
Slovenia,1726,88,1.511,0.284,27,high
Wales,1718,89,1.483,0.18,37,high
Slovakia,1717,91,1.495,0.231,31,high
Venezuela,1717,82,1.232,-0.146,52,high
Peru,1709,97,1.227,-0.186,64,high
Chile,1706,91,1.198,-0.132,56,high
Kosovo,1704,85,1.541,0.341,20,high
Republic of Ireland,1688,84,1.286,0.048,31,high
Nigeria,1657,104,1.76,0.606,40,high
Israel,1656,76,1.342,-0.092,23,high
Finland,1641,92,1.337,-0.087,26,high
North Macedonia,1637,86,1.465,0.093,17,high
Mali,1633,79,1.797,0.873,27,high
Albania,1628,85,1.329,-0.047,24,high
Burkina Faso,1608,89,1.674,0.427,26,high
Northern Ireland,1608,80,1.212,-0.2,25,high
Cameroon,1600,85,1.647,0.494,28,high
Iceland,1583,102,1.069,-0.412,44,high
Montenegro,1575,84,1.202,-0.345,23,high
Malaysia,1556,90,1.8,0.756,8,medium
Thailand,1550,98,1.724,0.694,8,medium
Kazakhstan,1544,81,1.136,-0.506,16,high
Bahrain,1543,110,1.555,0.3,39,high
Belarus,1541,82,1.146,-0.488,13,high
Vietnam,1536,87,1.667,0.506,18,high
Bolivia,1524,89,0.787,-1.022,60,high
United Arab Emirates,1522,102,1.52,0.412,36,high
Jamaica,1520,107,1.523,0.318,40,high
Bulgaria,1519,83,0.976,-0.59,18,high
Guatemala,1516,94,1.521,0.394,25,high
Guadeloupe,1516,44,1.591,0.682,4,medium
Luxembourg,1514,83,0.988,-0.699,24,high
Suriname,1512,53,1.547,0.642,9,medium
Angola,1511,79,1.481,0.266,21,high
Gabon,1507,63,1.476,0.063,16,high
Guinea,1496,78,1.346,0.051,20,high
Oman,1494,107,1.598,0.215,41,high
Latvia,1492,84,0.881,-0.714,16,high
Gambia,1492,63,1.365,0.095,14,high
Faroe Islands,1491,80,0.912,-0.8,20,high
Dominican Republic,1491,59,1.441,0.593,5,medium
Costa Rica,1489,111,1.342,0.009,65,high
Zambia,1478,87,1.356,-0.149,25,high
Azerbaijan,1478,84,0.881,-0.738,19,high
Puerto Rico,1472,46,1.435,0.37,4,medium
Kenya,1469,66,1.333,-0.091,13,high
Guyana,1467,56,1.5,0.214,6,medium
Indonesia,1466,90,1.4,0.044,19,high
